"cohort","platform","n","events","log_hr","se","hr_per_sd","ci_low","ci_high","p_value","c_index","ph_test_p"
"TCGA_PAAD","Illumina RNA-seq; cBioPortal RSEM",176,92,0.698149740341023,0.179341149856033,2.01003018694945,1.41431815496641,2.85665664282166,9.90698950717279e-05,0.623128661314819,0.711470323638986
"CPTAC_PAAD","Illumina RNA-seq; CPTAC 2021 cBioPortal",129,72,-0.0860230616375921,0.127033105768783,0.917573070238538,0.715335672957097,1.17698637304989,0.498297832957325,0.515947807176513,0.512384426677112
"GSE85916","GPL13667 Affymetrix Human Genome U219",79,57,0.124249874985753,0.145753255726346,1.13229876879188,0.850933533999495,1.50669876151381,0.393954816565952,0.524174053182917,0.521841999240751
"GSE57495","GPL15048 Rosetta/Merck HuRSTA custom array",63,42,0.331210304736887,0.16756176272344,1.39265264296083,1.00279919506369,1.93406755160249,0.0480816473956883,0.560148056755089,0.79506970082772
"GSE62452","GPL6244 Affymetrix Human Gene 1.0 ST",65,49,0.216866024410485,0.158438845119595,1.2421776695035,0.910584656797376,1.69452159235811,0.171071800232544,0.515966386554622,0.0233051330288691
