"term","log_hr","hr","se","p_value"
"gprc5a_z",0.484922098317184,1.62404848780602,0.198002125864004,0.0143223537688954
"subtypeClassical",-0.478048888599786,0.619991885705891,0.252500174929096,0.058323087299459
"age",0.023477573720791,1.02375534146606,0.0104136554691037,0.0241648063057898
"stage_number",0.0180580714009155,1.018222104257,0.222627565745404,0.935351795544821
"gprc5a_z:subtypeClassical",0.446487496904121,1.56281314743121,0.391526047298332,0.254129060561949
