"cohort","covariates","n","events","hr_per_sd","ci_low","ci_high","p_value","ph_test_p"
"TCGA_PAAD","age+stage_number+grade_number",172,91,1.90004918648046,1.30398993497454,2.76856961408645,0.000832073933237856,0.371875452931361
"CPTAC_PAAD","age+stage_number",125,70,0.931814933696535,0.720467218835514,1.2051611065154,0.590516228467884,0.712158733649385
"GSE57495","stage_number",63,42,1.38815182211117,0.995244900626811,1.93617217231352,0.0533733528468931,0.837988989849998
"GSE62452","stage_number+grade_number",64,49,1.05040949222195,0.745978488913866,1.4790776379577,0.77821259916228,0.0216435571523331
