"cohort","platform","n","events","log_hr","se","hr_per_sd","ci_low","ci_high","p_value","c_index","ph_test_p"
"TCGA_Basal_like","Illumina RNA-seq; cBioPortal RSEM",63,38,0.115607291495837,0.15793591027947,1.12255494868699,0.823706168314928,1.529829035273,0.464175504128326,0.526504297994269,0.879492853929469
"TCGA_Classical","Illumina RNA-seq; cBioPortal RSEM",82,46,0.34526264783219,0.20024887992094,1.41236082446567,0.953879481901915,2.0912108251957,0.0846775758984296,0.623516720604099,0.062599735975151
